"EXTF";700;21;"Buchungsstapel";13;20260829165637630;;;;;1234567;1;20250101;4;20250301;20250331;"Rechnungsausgang 2025-03-01 bis 2025-03-31";;1;0;0;"EUR";;;;0;;;;;
Umsatz (ohne Soll/Haben-Kz);Soll/Haben-Kennzeichen;WKZ Umsatz;Kurs;Basis-Umsatz;WKZ Basis-Umsatz;Konto;Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Belegdatum;Belegfeld 1;Belegfeld 2;Skonto;Buchungstext;Postensperre;Diverse Adressnummer;Geschäftspartnerbank;Sachverhalt;Zinssperre;Beleglink;Beleginfo - Art 1;Beleginfo - Inhalt 1;Beleginfo - Art 2;Beleginfo - Inhalt 2;Beleginfo - Art 3;Beleginfo - Inhalt 3;Beleginfo - Art 4;Beleginfo - Inhalt 4;Beleginfo - Art 5;Beleginfo - Inhalt 5;Beleginfo - Art 6;Beleginfo - Inhalt 6;Beleginfo - Art 7;Beleginfo - Inhalt 7;Beleginfo - Art 8;Beleginfo - Inhalt 8;KOST1 - Kostenstelle;KOST2 - Kostenstelle;Kost-Menge;EU-Land u. UStID (Bestimmung);EU-Steuersatz (Bestimmung)
55530,33;"S";"EUR";;;;12835;8300;;0303;"250303001";;;"RE 250303001 Telefonbuchverlag Bangert KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
999,60;"S";"EUR";;;;12975;8400;;0603;"250306002";;;"RE 250306002 REAL GARANT SHOP GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
98,81;"S";"EUR";;;;10121;8400;;0703;"250307003";;;"RE 250307003 Detloff GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
1787,25;"S";"EUR";;;;13170;8400;;0703;"250307001";;;"RE 250307001 Verlag Bernhard Bolanz e.K.";;;;;;;;;;;;;;;;;;;;;;;;;;;
4473,98;"S";"EUR";;;;12004;8400;;1003;"250310001";;;"RE 250310001 Schwäbischer Turnerbund e.V.";;;;;;;;;;;;;;;;;;;;;;;;;;;
3067,34;"S";"EUR";;;;10258;8400;;1003;"250310002";;;"RE 250310002 Bosch Thermotechnik GmbH Junkers Deutschland";;;;;;;;;;;;;;;;;;;;;;;;;;;
892,50;"S";"EUR";;;;13526;8400;;1103;"250311005";;;"RE 250311005 BruderhausDiakonie Werkstätten";;;;;;;;;;;;;;;;;;;;;;;;;;;
368,04;"S";"EUR";;;;12926;8400;;1103;"250311004";;;"RE 250311004 MHZ Hachtel GmbH & Co. KG";;;;;;;;;;;;;;;;;;;;;;;;;;;
1382,78;"S";"EUR";;;;13418;8400;;1103;"250311003";;;"RE 250311003 PONS Langenscheidt GmbH";;;;;;;;;;;;;;;;;;;;;;;;;;;
119,00;"S";"EUR";;;;11130;8400;;1103;"250311002";;;"RE 250311002 Klaus VeredelungsManufaktur";;;;;;;;;;;;;;;;;;;;;;;;;;;
